NAME,ID,MAE,MSE,RMSLE,R2,LENGTH,TIME_PER_TRAIN
Emiliano Buendía,49180.0,0.2149163239796956,0.07458766284606122,0.0326789394346826,0.7044787672168749,160.0,37.374401926994324
Alisson,28867.0,0.200312508719308,0.06176816726038905,0.03202718277295052,0.02928588845654239,193.0,36.41802566392081
Abdoulaye Doucouré,15509.0,0.17521932135687937,0.04550555659620376,0.02703512246429255,0.22245495139519406,224.0,36.768464697731865
Kepa Arrizabalaga,51581.0,0.15219260231653853,0.044761426489470825,0.026434357774528686,0.39919465168970164,160.0,37.397479017575584
Dele Alli,37046.0,0.2152006434334649,0.06963973786139195,0.032749167842355716,0.4147237457973651,221.0,39.4950655831231
Diego Llorente,46854.0,0.19063878364562986,0.05744667917419394,0.030475640494173516,0.2216240487738042,157.0,39.70312376022339
Jonas Lössl,15485.0,0.16604375662122456,0.05106511702375519,0.030598029811463867,0.43487440839990715,196.0,35.526770898274016
Gabriel Jesus,59481.0,0.21619890935080407,0.07923618286137446,0.03410903870718599,0.3712690605777485,182.0,36.32066249847412
Anwar El Ghazi,24473.0,0.1977290085383824,0.059823341215707225,0.03167057660193448,0.03220492819502436,196.0,34.89034611838205
Salomón Rondón,22689.0,0.21894898223876955,0.07623217433794348,0.03629023302364921,-0.4266712460497938,196.0,40.04373969350542
