NAME,ID,MAE,MSE,RMSLE,R2,LENGTH,TIME_PER_TRAIN
Emiliano Buendía,49180.0,0.2296497168540954,0.08207131140505845,0.034423553653377514,0.670880979399878,160.0,38.823224782943726
Alisson,28867.0,0.19287178366524846,0.05848242937548182,0.031397417202018316,0.12193736888830756,193.0,40.006971733910696
Abdoulaye Doucouré,15509.0,0.20746335739559596,0.06459401868489957,0.032047442293747126,-0.19581184173285035,224.0,35.341322077645195
Kepa Arrizabalaga,51581.0,0.18580196158091225,0.05656370092646565,0.030373319197221055,-0.06492876067838628,160.0,37.06206695238749
Dele Alli,37046.0,0.20558797454833988,0.06790769206211174,0.03249183758439831,0.5114618557687813,221.0,35.71676807933383
Diego Llorente,46854.0,0.20067851943969725,0.06661752494461963,0.03264383557677944,0.15931026708973545,157.0,39.72327017784119
Jonas Lössl,15485.0,0.195348004749843,0.06841414354269083,0.03506446478886389,0.19689093072294206,196.0,38.91114865030561
Gabriel Jesus,59481.0,0.19516941942487429,0.06054984828618607,0.030953644619069333,0.4492230093905064,182.0,37.60888341494969
Anwar El Ghazi,24473.0,0.21584611633845732,0.0746416064157726,0.03505620216298551,-0.2254579592742471,196.0,38.911194052015034
Salomón Rondón,22689.0,0.21840173530578608,0.0774381957493964,0.03549315628124878,-0.4184760342576814,196.0,38.95814200810024
