LEARNING_RATE,TIME_STEP,DENSE,NUM_NODES,EPOCHS,OPTIMIZER,TIME_STEP.1,MAE,MSE,RMSLE,R2
0.001,6,1,20,400,SGD,,0.2308602640469867,0.0904960878269606,0.0359510573573681,0.2965539723966438
0.001,6,1,20,400,ADAM,,0.2251812954266865,0.0819756902556589,0.0349623380640445,0.2737610321971731
0.001,6,1,20,500,SGD,,0.2662892806053161,0.1161480114447675,0.0406356013163259,-0.2520879123328042
0.001,6,1,20,500,ADAM,,0.2182296082814535,0.0720088391040643,0.0340476113397795,0.2349838684644023
0.001,6,1,30,400,SGD,,0.2554199799855549,0.1080601118759335,0.0388264600859175,-0.5658444784773163
0.001,6,1,30,400,ADAM,,0.2440399923324584,0.0975635858553837,0.0372351047060548,-0.0447962648573318
0.001,6,1,30,500,SGD,,0.2659557325998941,0.1116070205626498,0.0403192523701701,-0.5256893330059731
0.001,6,1,30,500,ADAM,,0.2189651735623677,0.0746432475001899,0.0341630582722766,0.2582239136630774
0.001,6,1,40,400,SGD,,0.2674566662788391,0.1137523912555445,0.041260753466696,0.0401075292854041
0.001,6,1,40,400,ADAM,,0.1878221821784972,0.0651013797134018,0.0308052650661764,0.5145036697803078
0.001,6,1,40,500,SGD,,0.2698714707374572,0.1148927262902529,0.0408729350146521,-0.1121859496008052
0.001,6,1,40,500,ADAM,,0.2344236413955688,0.0870653924020047,0.0368025196040369,0.0194353350002516
0.001,7,1,20,400,SGD,,0.2318864667892456,0.0883089739040051,0.0371537194969832,0.1145699170176004
0.001,7,1,20,400,ADAM,,0.2198444060961405,0.0797089340470426,0.0347184005714159,0.0125381950956708
0.001,7,1,20,500,SGD,,0.3367327508608499,0.1659896446161857,0.0495193300217556,-1.1479659451445516
0.001,7,1,20,500,ADAM,,0.2248550858497619,0.0776283227432911,0.0352753378389154,0.2184142044891888
0.001,7,1,30,400,SGD,,0.2437147274017333,0.1008701545385591,0.0381165002362336,0.2404699028155244
0.001,7,1,30,400,ADAM,,0.2423202695528666,0.0941939833647761,0.0376608887965347,-0.1776896649118571
0.001,7,1,30,500,SGD,,0.2437522354761759,0.0999444934223335,0.038229243332676,-0.2321790533541436
0.001,7,1,30,500,ADAM,,0.2721352405548095,0.1049533446501369,0.0408768295230527,-0.1953070897581927
0.001,7,1,40,400,SGD,,0.2743762225468953,0.1174254542989359,0.0419065075733071,-0.1403547674659426
0.001,7,1,40,400,ADAM,,0.2057197541554768,0.0717316289271753,0.0334158167379887,0.327539673353154
0.001,7,1,40,500,SGD,,0.2518526378949483,0.1027910493956875,0.0383137245646302,-0.4283984888523694
0.001,7,1,40,500,ADAM,,0.2063631417592366,0.0742198524095873,0.0329088839268671,0.3685487211887231
0.001,8,1,20,400,SGD,,0.285310640557607,0.1283038415220846,0.0433790821725852,-0.4337510803073711
0.001,8,1,20,400,ADAM,,0.2169372594515482,0.0787463512917479,0.034818778483793,0.2850014955464331
0.001,8,1,20,500,SGD,,0.3019467437426248,0.1357421773385999,0.0455063214521062,-0.5108648882900491
0.001,8,1,20,500,ADAM,,0.2475788426399231,0.0946406595576657,0.0382110251021442,-0.0389557495797751
0.001,8,1,30,400,SGD,,0.2754345242818196,0.1274511396169325,0.0426070775701823,-0.2141285877392659
0.001,8,1,30,400,ADAM,,0.2423125221888224,0.093178047419392,0.0381001543850698,0.0425475795638026
0.001,8,1,30,500,SGD,,0.2399837658564249,0.0964214474179679,0.0373418113663708,-0.05975904637205
0.001,8,1,30,500,ADAM,,0.2289595604578654,0.0899903371972435,0.0357345951702883,0.0152247609258384
0.001,8,1,40,400,SGD,,0.2557318547566731,0.1014938111399852,0.03916672240874,-0.1705843631777431
0.001,8,1,40,400,ADAM,,0.222109959411621,0.0828109427869097,0.0355058106776213,0.2585930845358728
0.001,8,1,40,500,SGD,,0.2338909104983011,0.0860451623909717,0.0367932982182325,0.0725980439146877
0.001,8,1,40,500,ADAM,,0.222858590221405,0.08160183685462463,0.03554056703957333,0.08551645554820941
