NAME,ID,MAE,MSE,RMSLE,R2,LENGTH,TIME_PER_TRAIN
Emiliano Buendía,49180.0,0.22636963431040436,0.08170662356383453,0.034422474789550246,0.6563180864447143,160.0,44.09085210164388
Alisson,28867.0,0.18647546563829706,0.0555087927140624,0.030943835920504054,0.2669823437558925,193.0,32.890171902520315
Abdoulaye Doucouré,15509.0,0.19389637035793728,0.05609637337532816,0.02986970959983682,0.008536708259716788,224.0,24.07493895954556
Kepa Arrizabalaga,51581.0,0.16099204492568966,0.04992982619709315,0.027923709892929444,0.2818512592937302,160.0,41.12126954396566
Dele Alli,37046.0,0.22371269724104137,0.07504608275795181,0.03425410893211059,0.4102402227575377,221.0,32.532378938463
Diego Llorente,46854.0,0.24485965652465821,0.08500713233839034,0.03719308065842538,-0.24813621463131294,157.0,25.558209037780763
Jonas Lössl,15485.0,0.17503801046098982,0.05317157762741961,0.03106786221701336,0.4136978895830924,196.0,38.28189563751221
Gabriel Jesus,59481.0,0.1936546622685024,0.062298270752229094,0.03085446322408466,0.4882518163358426,182.0,32.86352954592024
Anwar El Ghazi,24473.0,0.21175539452689038,0.06843517438886067,0.03370239294718968,-0.12865728132576068,196.0,35.608244385038105
Salomón Rondón,22689.0,0.21795686858040947,0.08198318758506525,0.03579973096101404,-0.5435643095238007,196.0,27.432892901556833
