NAME,ID,MAE,MSE,RMSLE,R2,LENGTH,TIME_PER_TRAIN
Emiliano Buendía,49180.0,0.18292492580413808,0.05197631866363914,0.02770053501513343,0.8080098469460868,160.0,75.85982362429301
Alisson,28867.0,0.18135016036033622,0.05525368737378905,0.030782389858109285,0.6312302438280095,193.0,74.54498302936554
Abdoulaye Doucouré,15509.0,0.16033873256047568,0.039309997735585564,0.025279545297642637,0.35479644444662095,224.0,72.97018138567607
Kepa Arrizabalaga,51581.0,0.15980072402954099,0.0371534976432814,0.02586410645166622,-0.13356709904642958,160.0,78.08549276987712
Dele Alli,37046.0,0.18248642015457153,0.05378448814241368,0.029548857181014025,0.4842737357386269,221.0,74.5978776216507
Diego Llorente,46854.0,0.17195871496200563,0.04546710657848292,0.027901491704445926,0.44141663943152065,157.0,77.22404396533966
Jonas Lössl,15485.0,0.15703410673141482,0.044302102946073216,0.028755785258685388,0.39026937475154744,196.0,80.0318912267685
Gabriel Jesus,59481.0,0.1902909853458405,0.060935213418422174,0.02991858149238284,0.5166255067869626,182.0,76.99185335636139
Anwar El Ghazi,24473.0,0.15958242893219,0.038521722942380876,0.026131768043425433,0.7058870683558829,196.0,77.19974273443222
Salomón Rondón,22689.0,0.1874310624599457,0.056099041237409365,0.029746959800832272,-0.0845699564748707,196.0,79.453604221344
