NAME,ID,MAE,MSE,RMSLE,R2,LENGTH,TIME_PER_TRAIN
Emiliano Buendía,49180.0,0.21501031541824328,0.06816215971532616,0.03158567103194164,0.7309775422334264,160.0,116.07702493667603
Alisson,28867.0,0.20441963704427102,0.07086691667970842,0.0347710102996125,0.5585863959881449,193.0,107.25403030713399
Abdoulaye Doucouré,15509.0,0.17961227149963377,0.04980620587788384,0.028200622208437907,0.23619523576087217,224.0,109.56075415611267
Kepa Arrizabalaga,51581.0,0.1904738826751708,0.048808901582076805,0.029151946108606393,0.5332947359182868,160.0,88.69714832305908
Dele Alli,37046.0,0.16916676654815674,0.0451472987237114,0.027137251398360162,0.5443381578522495,221.0,109.56589179039001
Diego Llorente,46854.0,0.1671158952713013,0.045067461443171676,0.028439814330699063,0.510237435277805,157.0,89.43121361732483
Jonas Lössl,15485.0,0.14401859569549563,0.03248694900403284,0.024613358960441947,0.4316090542496707,196.0,124.4929956595103
Gabriel Jesus,59481.0,0.23580886046091679,0.08592714363223353,0.03556555809787858,0.2937803638076169,182.0,106.75970045725505
Anwar El Ghazi,24473.0,0.1727606112162272,0.04825120257457808,0.029326118273087093,0.6645973321270054,196.0,106.92902604738872
Salomón Rondón,22689.0,0.24030758031209318,0.08731355670749719,0.03777227428653492,-0.5966771116019178,196.0,106.53759749730428
