NAME,ID,MAE,MSE,RMSLE,R2,LENGTH,TIME_PER_TRAIN
Emiliano Buendía,49180.0,0.2292673454284667,0.08458963298959368,0.03372561857971241,0.6797682396157448,160.0,31.194353771209716
Alisson,28867.0,0.19172970819473267,0.06030369157411273,0.032344420391648296,0.5643199443394824,193.0,37.0516547759374
Abdoulaye Doucouré,15509.0,0.19649094319343569,0.05991462392110797,0.029955221492719654,-0.03215628204687873,224.0,33.480590999126434
Kepa Arrizabalaga,51581.0,0.1821733165740966,0.05484865001583061,0.030160099358821933,-0.8477327420378691,160.0,36.088955307006835
Dele Alli,37046.0,0.21557761657238006,0.07093954988686371,0.033121159993659215,0.29112923160169146,221.0,34.5940720140934
Diego Llorente,46854.0,0.19847670125961298,0.059296260794516144,0.03148268941324177,0.10097447443935373,157.0,28.22082883119583
Jonas Lössl,15485.0,0.20369485886891692,0.06833533863169212,0.035680549788365386,0.1688752548522541,196.0,34.66408812999725
Gabriel Jesus,59481.0,0.2445719167391458,0.09732471807622478,0.03755980357560718,0.19180298469851542,182.0,36.86944731076559
Anwar El Ghazi,24473.0,0.16522999731699625,0.04213270671673978,0.02753115840928162,0.5280010260729315,196.0,32.59087085723877
Salomón Rondón,22689.0,0.17806959692637125,0.05065473842742849,0.0299709601632157,0.15631513189043503,196.0,32.75999617576599
